"_id","summary","description"
312,"",""
347,"",""
348,"",""
354,"",""
369,"",""
370,"",""
377,"",""
411,"",""
425,"",""
5,"",""
621,"",""
651,"",""
474,"",""
36,"",""
30,"",""
368,"",""
650,"",""
427,"",""
342,"closing time violation","""Relates to the closing time of all doors business houses, pool rooms, and ten-pin alleys, both Sundays, and days during the week."" 
- 1906 APD Rules and Regulations booklet, p. 23."
333,"public profanity","""Prohibits the use of obscene, boisterous or profane language upon anyof the public streets within the city limits, and provides a penalty for same."" 
- 1906 APD Rules and Regulations booklet, p. 23."
332,"public indecency","""Prohibits all public indecency in the city, and provides a penalty for the same."" 
- 1906 APD Rules and Regulations booklet, p. 23."
321,"public drinking","""Prohibits the drinking of spirituous, vinous or malt liquors within the dispensary, or on any of the public streets or sidewalks of the city."" 
- 1906 APD Rules and Regulations booklet, p. 23."
317,"unlicensed alcohol sales","""Prohibits the keeping of liquor within the city limits for illegal sale, barter or exchange, and provides a penalty for such keeping.""  
- 1906 APD Rules and Regulations booklet, p. 23."
343,"firing a gun in city limits","""Prohibits the firing of any pistol, gun or any other fire arm in the city, and provides a penalty for same.""
- 1906 APD Rules and Regulations booklet, p. 23."
351,"disorderly driving or riding","""Prohibits the driving or riding in the city in a disorderly manner or in a manner calculated to injure or incommode other citizens.""
- 1906 APD Rules and Regulations booklet, pp. 23-24."
353,"disturbing a public place","""Prohibits the disturbance of any public meeting or place of amusement either by loud talking, indecent or profane language or any other disturbing sound or action.""
- 1906 APD Rules and Regulations booklet, p. 24."
355,"sports regulations","""Regulates the playing of baseball and football within the city.""
- 1906 APD Rules and Regulations booklet, p. 24."
356,"sling-shot ordinance","""Prohibits the use of sling-shots.""
- 1906 APD Rules and Regulations booklet, p. 24."
357,"kite ordinance","""Prohibits the flying of kites.""
- 1906 APD Rules and Regulations booklet, p. 24."
358,"disorderly house","""Prohibits parties of disorderly character to assemble in a house within the corporate limits of the city.""
- 1906 APD Rules and Regulations booklet, p. 24."
359,"reckless carrying of firearm","""Prohibits the carrying or handling of any gun, pistol or any fire arm in a careless and reckless manner.""
- 1906 APD Rules and Regulations, p. 24."
360,"public drunkenness","""Covers all plain drunkenness, and disorderly conduct.""
- 1906 APD Rules and Regulations booklet, p. 24."
363,"disorderly conduct","""Prohibits any disorderly conduct of any kind calculated to disturb the peace of the citizens.""
- 1906 APD Rules and Regulations booklet, p. 24."
364,loitering,"""Relates to idlers, and loafers upon any of the streets, and provides a penalty for the same.""
- 1906 APD Rules and Regulations booklet, p. 24."
414,"unsanitary garbage disposal","""Prohibits the throwing upon one's own premises, or the premises of others, any decayed flesh, vegetable, or any other thing, which may annoy the neighborhood or tend to offend or injure the health of any citizen.""
- 1906 APD Rules and Regulations booklet, pp. 25-26."
420,"improper garbage disposal","""Prohibits the throwing upon the lot of another any decayed vegetable or offensive matter.""
- 1906 APD Rules and Regulations booklet, p. 26."
422,"hog pen ordinance","""Regulates hog pens.""
- 1906 APD Rules and Regulations booklet, 1906."
424,"butcher pen ordinance","""Regulates butcher pens.""
- 1906 APD Rules and Regulations booklet, p. 26."
444,"leash law","""Prohibits the running at large all domestic animals.""
- 1906 APD Rules and Regulations, p. 27."
453,"wagon-team ordinance","""Prohibits the leaving of loose teams upon the streets.""
- 1906 APD Rules and Regulations booklet, p. 27."
466,"trash on street","""Prohibits the placing of rubbish or waste on the streets.""
- 1906 APD Rules and Regulations booklet, p. 27."
469,"blocking a public way","""Prohibits the placing of boxes, barrels or coops on the streets or sidewalks.""
- 1906 Rules and Regulations booklet, p. 27."
471,"permission to dig on streets","""Prohibits the digging in the streets or sidewalks, without the permission of the mayor.""
- 1906 APD Rules and Regulations booklet, p. 27."
508,"playing in public thoroughfares","""Prohibits the playing of marbles, ball or spinning of tops on the side walk. Also in streets within the business part of the city.""
- 1906 APD Rules and  Regulations booklet, p. 28."
